feature,importance,method
oura_OURA_sleep_onset_latency,0.05806394,native_feature_importance
oura_OURA_sleep_score_alignment,0.037134945,native_feature_importance
oura_OURA_sleep_rem,0.034235366,native_feature_importance
oura_OURA_sleep_restless,0.031178677,native_feature_importance
oura_OURA_sleep_average_breath_variation,0.031075818,native_feature_importance
oura_OURA_activity_low,0.02967462,native_feature_importance
oura_OURA_activity_score_training_volume,0.028986389,native_feature_importance
oura_OURA_readiness_score_previous_night,0.027292078,native_feature_importance
oura_OURA_sleep_score_total,0.026090214,native_feature_importance
oura_OURA_sleep_bedtime_end_delta,0.02507126,native_feature_importance
